zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean,elevation_m,slope_deg
r03_c11,21.685,80.165,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3682,0.1552,-9.7975,-17.217,31.444,1510.2911,297.2497,0.9802
r03_c12,21.685,80.175,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3819,0.1312,-9.4775,-16.8641,31.6516,1510.2911,290.7035,1.474
r03_c13,21.685,80.185,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.2922,0.1086,-11.9851,-19.5101,31.5554,1510.2911,283.6761,2.1815
r03_c14,21.685,80.195,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4052,0.1222,-9.6452,-16.6235,31.1958,1510.7073,291.5662,1.2947
r03_c15,21.685,80.205,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3853,0.1349,-9.5199,-17.0968,31.041,1530.3452,294.7151,1.0415
r03_c16,21.685,80.215,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3855,0.1549,-9.8422,-17.4583,30.9262,1530.3452,294.9637,0.9665
r03_c17,21.685,80.225,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3797,0.1419,-9.8217,-17.2699,30.688,1530.3452,294.6579,1.0661
r03_c18,21.685,80.235,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3773,0.1644,-10.4398,-17.6338,30.1372,1530.3452,293.285,0.9651
r03_c19,21.685,80.245,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4237,0.1243,-9.2564,-16.3004,29.8743,1530.3452,291.2766,1.4128
r03_c20,21.685,80.255,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4183,0.1317,-9.5623,-16.7,30.022,1507.9202,289.9991,1.6635
r03_c21,21.685,80.265,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3832,0.1373,-9.8814,-17.0636,30.2213,1507.7052,292.8671,1.2907
r03_c22,21.685,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.339,0.1349,-9.793,-17.2646,30.3537,1507.7052,293.9565,1.6464
r03_c23,21.685,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3569,0.1381,-9.9041,-17.2588,30.4172,1507.7052,293.5917,1.2974
r03_c24,21.685,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3677,0.1205,-9.3569,-16.5608,30.4799,1507.7052,291.5111,1.6203
r03_c25,21.685,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3736,0.1136,-10.111,-17.2445,30.5122,1527.3668,288.2881,1.5592
r03_c26,21.685,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3613,0.1127,-10.0913,-17.237,30.5567,1528.1895,289.3782,1.7131
r03_c27,21.685,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3539,0.1177,-10.1565,-17.4528,30.6013,1528.1895,290.0308,1.6917
r03_c28,21.685,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3626,0.1269,-9.846,-17.0925,30.5342,1528.1895,293.1008,1.6193
r03_c29,21.685,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3401,0.1307,-9.6127,-16.8795,30.3667,1528.8982,300.4494,1.2832
r04_c00,21.695,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4047,0.1299,-9.9459,-16.9795,30.5338,1473.0125,300.0911,1.3174
r04_c01,21.695,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3849,0.1344,-9.8315,-16.9053,30.5009,1473.0126,301.8639,1.1751
r04_c02,21.695,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3635,0.1311,-10.4492,-17.372,30.6515,1473.0126,301.5421,1.2124
r04_c03,21.695,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3552,0.1374,-10.643,-17.8283,30.7713,1473.0126,296.979,1.1575
